DATE,NA000335Q
2000-07-01,535754.0
2000-10-01,511281.0
2001-01-01,475341.0
2001-04-01,490475.0
2001-07-01,511694.0
2001-10-01,457332.0
2002-01-01,455830.0
2002-04-01,483363.0
2002-07-01,509206.0
2002-10-01,482019.0
2003-01-01,481537.0
2003-04-01,493045.0
2003-07-01,528670.0
2003-10-01,523803.0
2004-01-01,524727.0
2004-04-01,574358.0
2004-07-01,599529.0
2004-10-01,582640.0
2005-01-01,593885.0
2005-04-01,625240.0
2005-07-01,671118.0
2005-10-01,644477.0
2006-01-01,659354.0
2006-04-01,693079.0
2006-07-01,699905.0
2006-10-01,648616.0
2007-01-01,644445.0
2007-04-01,680179.0
2007-07-01,696815.0
2007-10-01,651572.0
2008-01-01,643558.0
2008-04-01,632395.0
2008-07-01,637370.0
2008-10-01,564291.0
2009-01-01,484254.0
2009-04-01,455388.0
2009-07-01,492032.0
2009-10-01,497990.0
2010-01-01,487495.0
2010-04-01,538341.0
2010-07-01,587834.0
2010-10-01,551802.0
2011-01-01,548397.0
2011-04-01,565525.0
2011-07-01,612213.0
2011-10-01,606428.0
2012-01-01,638154.0
2012-04-01,648053.0
2012-07-01,693223.0
2012-10-01,642324.0
2013-01-01,666275.0
2013-04-01,689452.0
2013-07-01,758037.0
2013-10-01,712251.0
2014-01-01,708999.0
2014-04-01,749034.0
2014-07-01,817434.0
2014-10-01,768711.0
2015-01-01,785982.0
2015-04-01,817879.0
2015-07-01,852864.0
2015-10-01,780437.0
2016-01-01,763691.0
2016-04-01,800226.0
2016-07-01,835180.0
2016-10-01,789244.0
2017-01-01,767957.0
2017-04-01,847125.0
2017-07-01,896571.0
2017-10-01,839491.0
2018-01-01,847717.0
2018-04-01,905093.0
2018-07-01,969344.0
2018-10-01,910724.0
2019-01-01,904437.0
2019-04-01,948146.0
2019-07-01,987751.0
2019-10-01,910888.0
2020-01-01,886373.0
2020-04-01,790309.0
2020-07-01,971978.0
